Industry and class of worker,Year,Total unemployed,Unemployment rates,Unemployment rates Men,Unemployment rates Women
"Total, 16 years and over(1)",2023,"6,043",3.6,4,3.2
Nonagricultural private wage and salary workers(2),2023,"4,842",3.7,3.9,3.3
"Mining, quarrying, and oil and gas extraction",2023,36,6.5,6.6,5.5
Construction,2023,598,5.6,5.7,4.9
Manufacturing,2023,459,2.9,3.2,2.1
Durable goods,2023,257,2.5,2.8,1.7
Nonmetallic mineral products,2023,31,7.4,5.9,13.5
Primary and fabricated metal products,2023,46,2.6,2.8,1.9
Machinery manufacturing,2023,23,1.6,1.7,1.4
Computer and electronic products,2023,15,1.3,1.7,0
Electrical equipment and appliances,2023,19,4.6,4.9,3.6
Transportation equipment,2023,57,2.1,2.5,0.7
Wood products,2023,15,4.1,4.9,0
Furniture and related products,2023,5,1.5,0.9,2.6
Miscellaneous manufacturing,2023,46,2.9,3.7,1.5
Nondurable goods,2023,202,3.6,4.1,2.7
Food manufacturing,2023,63,3.7,4.4,2.7
Beverage and tobacco products,2023,13,3.8,4.6,0
"Textile, apparel, and leather",2023,30,6.1,10.2,2.8
Paper and printing,2023,17,2.3,2.6,1.6
Petroleum and coal products,2023,14,4.8,5.5,0
Chemicals,2023,42,2.6,2.1,3.5
Plastics and rubber products,2023,24,4.5,5.1,2.8
Wholesale and retail trade,2023,846,4.4,4.5,4.1
Wholesale trade,2023,103,3.3,3.4,3.3
Retail trade,2023,744,4.5,4.8,4.2
Transportation and utilities,2023,390,4.6,3.8,7.2
Transportation and warehousing,2023,362,5,4.1,7.9
Utilities,2023,28,2.4,2.4,2.3
Information(3),2023,84,3.1,2,5
"Publishing, except Internet",2023,29,4.5,4.8,4
Motion picture and sound recording industries,2023,30,6.4,2.2,14.6
Broadcasting (except internet),2023,4,1.6,0,4.8
Telecommunications,2023,11,1.3,1,2.2
Financial activities,2023,189,1.8,1.6,2
Finance and insurance,2023,134,1.7,1.4,2
Finance,2023,91,1.9,1.2,2.5
Insurance,2023,42,1.5,1.8,1.3
Real estate and rental and leasing,2023,56,2.1,2.3,1.8
Real estate,2023,49,2,2.3,1.8
Rental and leasing services,2023,7,2.2,2.4,1.6
Professional and business services,2023,744,3.9,4.2,3.6
Professional and technical services,2023,312,2.5,2.4,2.6
"Management, administrative, and waste services(3)",2023,432,6.7,7.5,5.6
Administrative and support services,2023,432,7.4,8.5,5.9
Waste management and remediation services,2023,0,0,0,0
Education and health services,2023,604,2.4,2.6,2.3
Educational services,2023,129,2.5,2.6,2.4
Health care and social assistance,2023,475,2.4,2.6,2.3
Hospitals,2023,104,1.5,0.8,1.8
"Health services, except hospitals",2023,297,2.8,2.9,2.8
Social assistance,2023,74,2.7,7.6,1.7
Leisure and hospitality,2023,684,5,4.9,5
"Arts, entertainment, and recreation",2023,106,3.9,3.1,4.8
Accommodation and food services,2023,578,5.2,5.5,5
Accommodation,2023,53,4.2,3,5
Food services and drinking places,2023,525,5.4,5.7,5
Other services,2023,208,3.3,2.9,3.6
"Other services, except private households",2023,190,3.3,2.8,3.9
Repair and maintenance,2023,33,1.9,1.7,3.8
Personal and laundry services,2023,61,3.2,2.9,3.3
Membership associations and organizations,2023,95,4.6,4.7,4.6
Private households,2023,18,3.1,0,2.5
Agricultural and related private wage and salary workers(2),2023,108,7.4,6.7,9.3
Government wage and salary workers,2023,372,1.7,1.9,1.5
"Self-employed workers, unincorporated, and unpaid family workers",2023,334,3.3,3.8,2.5
No previous work experience,2023,385,0,0,0
