Date,Quarterly Revenue (Millions),Gross Profit (Millions),Operating Income (Millions),EITDA (Millions),Net Income,EPS,Shares Outstanding,Total Assets,Cash on Hand,Shareholder Equity,TTM Revenue (billions),TTM Gross Profit  (billions),Gross Margin,TTM Net Income  (billions),Net Margin,Stock Price,TTM Net EPS,PE Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCP Per Share,Price to FCF Ratio,Current Assets (billions),Current Liabilities (billions),Current Ratio,Current Assets - Inventory  (billions),Quick Ratio,Long Term Debt (billions),Shareholder's Equity (billions),Debt to Equity Ratio,Return on Equity,Total Assets  (billions),Return on Assets,LT Investments & Debt  (billions),Return on Investment,TTM Net Income5,Tangible Equity (billions),Return on Tangible Equity
12/31/2022,"$95,429 ","$27,393 ","$18,842 ",,"$12,750 ",$3.09 ,"4,138",,,,$413.68 ,$114.19 ,27.60%,$55.74 ,13.47%,110.3,$10.17 ,10.85,$98.38 ,1.12,,,97.63,$69.05 ,1.41,$73.20 ,1.06,$166.59 ,$202.47 ,0.82,29.47%,$369.07 ,15.25%,$243.03 ,33.86%,$51.86 ,$193.04 ,28.43%
9/30/2022,"$112,070 ","$33,969 ","$25,422 ","$31,273 ","$19,660 ",$4.68 ,"4,185","$370,152 ","$30,464 ","$193,043 ",$403.22 ,$107.55 ,26.67%,$51.86 ,12.86%,86.61,$12.25 ,7.07,$95.20 ,0.91,$14.17 ,6.11,$99.29 ,$74.06 ,1.34,$75.19 ,1.02,$177.11 ,$193.04 ,0.92,28.43%,$370.15 ,14.49%,$232.29 ,31.59%,$38.95 ,$184.51 ,22.12%
6/30/2022,"$115,681 ","$32,514 ","$24,933 ","$29,578 ","$17,850 ",$4.21 ,"4,233","$367,774 ","$18,861 ","$184,508 ",$364.93 ,$91.01 ,24.94%,$38.95 ,10.67%,84.16,$9.14 ,9.21,$85.67 ,0.98,$11.75 ,7.16,$93.16 ,$80.11 ,1.16,$69.58 ,0.87,$183.27 ,$184.51 ,0.99,22.12%,$367.77 ,11.14%,$224.02 ,25.11%,$25.79 ,$176.53 ,15.05%
3/31/2022,"$90,500 ","$20,317 ","$8,556 ","$17,627 ","$5,480 ",$1.28 ,"4,266","$354,771 ","$11,074 ","$176,526 ",$316.99 ,$72.70 ,22.93%,$25.79 ,8.14%,80.35,$6.03 ,13.32,$74.19 ,1.08,$9.38 ,8.57,$77.26 ,$72.06 ,1.07,$55.08 ,0.76,$178.25 ,$176.53 ,1.01,15.05%,$354.77 ,7.54%,$219.18 ,16.83%,$23.04 ,$175.68 ,13.70%
12/31/2021,"$84,965 ","$20,749 ","$11,729 ","$17,611 ","$8,870 ",$2.08 ,"4,275","$338,923 ","$6,802 ","$175,683 ",$285.64 ,$64.20 ,22.48%,$23.04 ,8.07%,58.87,$5.39 ,10.92,$66.82 ,0.88,$8.43 ,6.98,$59.15 ,$56.64 ,1.04,$40.37 ,0.71,$163.24 ,$175.68 ,0.93,13.70%,$338.92 ,6.84%,$219.11 ,14.69%,($5.90),$167.51 ,-3.57%
9/30/2021,"$73,786 ","$17,433 ","$9,606 ","$14,810 ","$6,750 ",$1.57 ,"4,276","$336,688 ","$4,768 ","$167,506 ",$247.22 ,$51.17 ,20.70%,($5.90),-2.39%,55.83,($1.39),0,$57.84 ,0.97,$5.47 ,10.2,$55.56 ,$61.86 ,0.9,$35.95 ,0.58,$169.18 ,$167.51 ,1.01,-3.57%,$336.69 ,-1.76%,$211.15 ,-3.37%,($13.33),$165.56 ,-7.86%
6/30/2021,"$67,742 ","$14,196 ","$6,307 ","$11,513 ","$4,690 ",$1.10 ,"4,276","$337,289 ","$3,465 ","$165,556 ",$219.63 ,$41.53 ,18.91%,($13.33),-6.07%,58.98,($3.11),0,$51.40 ,1.15,$3.70 ,15.96,$52.84 ,$62.24 ,0.85,$33.57 ,0.54,$171.73 ,$165.56 ,1.04,-7.86%,$337.29 ,-3.92%,$210.88 ,-7.92%,($19.10),$164.10 ,-10.91%
3/31/2021,"$59,147 ","$11,824 ","$3,592 ","$8,854 ","$2,730 ",$0.64 ,"4,272","$333,770 ","$3,515 ","$164,101 ",$184.49 ,$33.82 ,18.33%,($19.10),-10.35%,51.45,($4.47),0,$43.19 ,1.19,$0.92 ,56.07,$48.20 ,$60.15 ,0.8,$29.84 ,0.5,$169.67 ,$164.10 ,1.03,-10.91%,$333.77 ,-5.51%,$209.24 ,-11.30%,($22.44),$164.13 ,-12.39%
12/31/2020,"$46,540 ","$7,715 ","($26,613)","$3,991 ","($20,070)",($4.70),"4,271","$332,750 ","$4,364 ","$164,130 ",$181.50 ,$30.94 ,17.05%,($22.44),-12.36%,37.35,($5.25),0,$42.50 ,0.88,($0.61),0,$44.89 ,$56.36 ,0.8,$26.04 ,0.46,$168.62 ,$164.13 ,1.03,-12.39%,$332.75 ,-6.37%,$211.31 ,-12.88%,$3.32 ,$184.61 ,1.75%
9/30/2020,"$46,199 ","$7,794 ",($372),"$4,890 ",($680),($0.15),"4,271","$358,043 ","$8,832 ","$184,612 ",$202.14 ,$38.38 ,18.99%,$3.32 ,1.64%,30.39,$0.78 ,38.96,$47.33 ,0.64,($0.78),0,$48.69 ,$56.47 ,0.86,$30.81 ,0.55,$173.43 ,$184.61 ,0.94,1.75%,$358.04 ,0.92%,$231.50 ,1.82%,$7.17 ,$187.15 ,3.72%
